id,station,median_temp_c,reading_count,readings,trace_id,captured_at,created_at
21,KORD,0.6111111,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:19:47Z"", ""windDir"": 45, ""humidity"": 72, ""pressure"": 30.44, ""windGust"": 0, ""dewpointF"": 25, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 234, ""humidity"": 54, ""pressure"": 29.7, ""windGust"": 10.3, ""dewpointF"": 18.3, ""windSpeed"": 8.5}, {""pwsId"": ""KILROSEM2"", ""tempF"": 33.6, ""obsTime"": ""2026-03-24T13:18:45Z"", ""windDir"": 194, ""humidity"": 57, ""pressure"": 30.38, ""windGust"": 12, ""dewpointF"": 20, ""windSpeed"": 8}]",ruth-pws-kord-20260324-131950046,2026-03-24 13:19:50.046+00,2026-03-24 13:19:50.049448+00
22,KLGA,2.7777777,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T13:19:34Z"", ""windDir"": 158, ""humidity"": 99, ""pressure"": 30.42, ""windGust"": 12, ""dewpointF"": 49, ""windSpeed"": 9}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 8, ""humidity"": 52, ""pressure"": 30.34, ""windGust"": 11.4, ""dewpointF"": 21, ""windSpeed"": 8.9}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 32, ""humidity"": 55, ""pressure"": 30, ""windGust"": 4.5, ""dewpointF"": 22.4, ""windSpeed"": 2.9}]",ruth-pws-klga-20260324-131950203,2026-03-24 13:19:50.203+00,2026-03-24 13:19:50.205783+00
23,KMIA,21.194445,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 70.3, ""obsTime"": ""2026-03-24T13:19:40Z"", ""windDir"": 27, ""humidity"": 75, ""pressure"": 30.15, ""windGust"": 3.4, ""dewpointF"": 62.1, ""windSpeed"": 2.5}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 70, ""obsTime"": ""2026-03-24T13:15:27Z"", ""windDir"": 349, ""humidity"": 83, ""pressure"": 30.12, ""windGust"": 5, ""dewpointF"": 64, ""windSpeed"": 0}]",ruth-pws-kmia-20260324-131950435,2026-03-24 13:19:50.435+00,2026-03-24 13:19:50.4383+00
24,KATL,11.611111,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 52.9, ""obsTime"": ""2026-03-24T13:15:00Z"", ""windDir"": 62, ""humidity"": 32, ""pressure"": 30.28, ""windGust"": 3.4, ""dewpointF"": 23.8, ""windSpeed"": 0.7}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 52.8, ""obsTime"": ""2026-03-24T13:19:11Z"", ""windDir"": 23, ""humidity"": 36, ""pressure"": 30.36, ""windGust"": 2.9, ""dewpointF"": 26.6, ""windSpeed"": 2.2}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 53.1, ""obsTime"": ""2026-03-24T13:19:48Z"", ""windDir"": 335, ""humidity"": 42, ""pressure"": 29.37, ""windGust"": 5, ""dewpointF"": 30.6, ""windSpeed"": 5}]",ruth-pws-katl-20260324-131950664,2026-03-24 13:19:50.664+00,2026-03-24 13:19:50.666592+00
25,EGLC,13,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.4, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 257, ""humidity"": 74, ""pressure"": 29.9, ""windGust"": 13.6, ""dewpointF"": 47.3, ""windSpeed"": 8.9}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.1, ""obsTime"": ""2026-03-24T13:19:42Z"", ""windDir"": 315, ""humidity"": 77, ""pressure"": 30.5, ""windGust"": 6.2, ""dewpointF"": 48.9, ""windSpeed"": 6}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T13:19:39Z"", ""windDir"": 235, ""humidity"": 80, ""pressure"": 29.9, ""windGust"": 11.4, ""dewpointF"": 48.7, ""windSpeed"": 5.4}]",ruth-pws-eglc-20260324-131950897,2026-03-24 13:19:50.897+00,2026-03-24 13:19:50.901226+00
26,LFPG,18.5,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64.9, ""obsTime"": ""2026-03-24T13:19:47Z"", ""windDir"": 319, ""humidity"": 39, ""pressure"": 29.75, ""windGust"": 6.9, ""dewpointF"": 39.4, ""windSpeed"": 2.7}, {""pwsId"": ""ITREMB16"", ""tempF"": 65.3, ""obsTime"": ""2026-03-24T13:19:16Z"", ""windDir"": 23, ""humidity"": 40, ""pressure"": 30.3, ""windGust"": 2.2, ""dewpointF"": 40.4, ""windSpeed"": 1.8}, {""pwsId"": ""IMITRY1"", ""tempF"": 66, ""obsTime"": ""2026-03-24T13:19:47Z"", ""windDir"": 271, ""humidity"": 45, ""pressure"": 30.25, ""windGust"": 2.5, ""dewpointF"": 44.1, ""windSpeed"": 0}]",ruth-pws-lfpg-20260324-131951103,2026-03-24 13:19:51.103+00,2026-03-24 13:19:51.105867+00
27,CYYZ,-1.7222222,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 30.6, ""obsTime"": ""2026-03-24T13:15:23Z"", ""windDir"": 195, ""humidity"": 67, ""pressure"": 30.44, ""windGust"": 7, ""dewpointF"": 21, ""windSpeed"": 3}, {""pwsId"": ""ITORON111"", ""tempF"": 27.7, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 316, ""humidity"": 71, ""pressure"": 30.37, ""windGust"": 0, ""dewpointF"": 19.5, ""windSpeed"": 0}, {""pwsId"": ""ITORON175"", ""tempF"": 28.9, ""obsTime"": ""2026-03-24T13:19:40Z"", ""windDir"": 247, ""humidity"": 65, ""pressure"": 30.56, ""windGust"": 4.9, ""dewpointF"": 18.8, ""windSpeed"": 4.4}]",ruth-pws-cyyz-20260324-131951284,2026-03-24 13:19:51.284+00,2026-03-24 13:19:51.286625+00
28,KSEA,6.388889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:20:00Z"", ""windDir"": 257, ""humidity"": 95, ""pressure"": 29.44, ""windGust"": 0, ""dewpointF"": 42.2, ""windSpeed"": 0}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:20:46Z"", ""windDir"": 80, ""humidity"": 94, ""pressure"": 29.85, ""windGust"": 1, ""dewpointF"": 41.9, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-132049636,2026-03-24 13:20:49.636+00,2026-03-24 13:20:49.648644+00
29,KDAL,16.11111,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 61, ""obsTime"": ""2026-03-24T12:55:00Z"", ""windDir"": 118, ""humidity"": 59, ""pressure"": 30.1, ""windGust"": 1.3, ""dewpointF"": 46.6, ""windSpeed"": 0.2}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 61.2, ""obsTime"": ""2026-03-24T13:20:36Z"", ""windDir"": 285, ""humidity"": 63, ""pressure"": 29.53, ""windGust"": 7.2, ""dewpointF"": 48.6, ""windSpeed"": 1.1}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 60.3, ""obsTime"": ""2026-03-24T13:20:41Z"", ""windDir"": 191, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 3.4, ""dewpointF"": 47.1, ""windSpeed"": 0.7}]",ruth-pws-kdal-20260324-132049843,2026-03-24 13:20:49.843+00,2026-03-24 13:20:49.845368+00
30,KORD,0.6111111,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:20:41Z"", ""windDir"": 45, ""humidity"": 73, ""pressure"": 30.44, ""windGust"": 0, ""dewpointF"": 26, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 213, ""humidity"": 54, ""pressure"": 29.7, ""windGust"": 10.3, ""dewpointF"": 18.3, ""windSpeed"": 5.8}, {""pwsId"": ""KILROSEM2"", ""tempF"": 33.6, ""obsTime"": ""2026-03-24T13:19:45Z"", ""windDir"": 252, ""humidity"": 57, ""pressure"": 30.38, ""windGust"": 12, ""dewpointF"": 20, ""windSpeed"": 4}]",ruth-pws-kord-20260324-132050009,2026-03-24 13:20:50.009+00,2026-03-24 13:20:50.012264+00
