id,trace_id,station,action,side,bucket,token_id,amount,shares,price,order_id,fill_status,signal_type,market_snapshot,dry_run,created_at
30,ruth-metar-katl-20260324-180005958,KATL,SELL,YES,66-67°F,36932432079600826968927214223778798554412393677861074672902948860551104778583,,11.9,,0xb2efd7015b0ae282a6f9d50cedde6a3f1d29480c6791adb174519872a327e37f,FILLED,PWS_EXIT,,f,2026-03-24 18:00:12.373145+00
31,ruth-metar-klga-20260324-180005983,KLGA,BUY,YES,44-45°F,11264762238868470392969284368589596929044651568997101186373153312841457562692,5,25.5,0.25,0xf009cf67bfb302f58c4d0f8a520f66b6608d566203808f1fba9278ca50bf4306,FILLED,METAR,"{""noPrice"": 0.75, ""yesPrice"": 0.25}",f,2026-03-24 18:00:12.40568+00
32,ruth-metar-kmia-20260324-180010990,KMIA,SELL,YES,84-85°F,66545811578175034298024578028182693411300462900236794296608358894390522803051,,12.2,,0x29f331225317fb3ab79151a89e85637261a6b2086392cc66ff8e9683db5c3250,FILLED,PWS_EXIT,,f,2026-03-24 18:00:17.297835+00
33,ruth-metar-klga-20260324-180005983,KLGA,HARVEST,NO,46-47°F,98097664759469513282453818048312025354639119166788725764641281678534307591254,5,7.8125,0.55,0xe84af3f481092f2e0ff3d038bf35a151e00306de098eb483c4b099a740588262,FILLED,METAR,,f,2026-03-24 18:00:18.884969+00
34,ruth-pws-kmia-20260324-180050675,KMIA,BUY,YES,84-85°F,66545811578175034298024578028182693411300462900236794296608358894390522803051,5,20.833332,0.325,0xaadefd6ab125d75ae05d3eff02efa3cdbe382d8a4fec225d4e47eec26fffa4c4,FILLED,PWS,"{""noPrice"": 0.675, ""yesPrice"": 0.325}",f,2026-03-24 18:00:56.956777+00
35,monitor-dup-1774375299048,KLGA,SELL,YES,46-47F,9310629107699034060870352950474609210450267081288242348911458743337594887012,,10.86,,0xe91d81d9687210024cbc2f1c540854aaa81e34338753ce1134a803b890e5770b,FILLED,MONITOR,,f,2026-03-24 18:01:45.284254+00
36,monitor-dup-1774375299048,KLGA,SELL,YES,46-47F,98097664759469513282453818048312025354639119166788725764641281678534307591254,,7.81,,0x83902dce7b8b04ec75f05801d361cddc8ea99077d38de91b6bb725dee7ed1305,FILLED,MONITOR,,f,2026-03-24 18:01:51.469574+00
37,ruth-pws-kord-20260324-180150121,KORD,BUY,YES,48-49°F,74682516358565591659522794264561994601823290764648554702207819783232574226468,5,17.463413,0.172,0xe61683a3fa29e3be3aa15afe969166b610f0438b1a12b4c1d97adee0ffecd700,FILLED,PWS,"{""noPrice"": 0.828, ""yesPrice"": 0.172}",f,2026-03-24 18:01:56.503958+00
38,ruth-pws-klga-20260324-180350256,KLGA,BUY,YES,46-47°F,9310629107699034060870352950474609210450267081288242348911458743337594887012,5,9.80392,0.495,0xe4a2ebcb96c951ed5940c1e4559f6647f1e9b95c25f93ee31e6d727f5d41db39,FILLED,PWS,"{""noPrice"": 0.505, ""yesPrice"": 0.495}",f,2026-03-24 18:03:56.5853+00
39,monitor-dup-1774375479206,KLGA,SELL,YES,46-47F,9310629107699034060870352950474609210450267081288242348911458743337594887012,,9.81,,0x1a93ca310873b85f18efe4ced6020e5bda81e7b6d0606da25e72407297da1dd3,FILLED,MONITOR,,f,2026-03-24 18:04:45.426095+00
40,ruth-metar-cyyz-20260324-180726099,CYYZ,SELL,YES,5°C,105972235687674764043080231702092295160802616720727649532000606126522150228702,,8.6,,0x5ce5628b89d0149879871ace0c65e989034557bf12ed09f3e3571628b39c559e,FILLED,PWS_EXIT,,f,2026-03-24 18:07:32.370893+00
41,ruth-pws-katl-20260324-181050580,KATL,BUY,YES,68-69°F,18463263350027208655829030743157508503279557244505071503738907574557867508162,5,10.583508,0.3715,0xb3d7734b186a80e43d0b96a9e74d593ec0b89e1138984120613e5c0f24755737,FILLED,PWS,"{""noPrice"": 0.6285, ""yesPrice"": 0.3715}",f,2026-03-24 18:10:56.930081+00
42,marty-manual-20260324181329900,KLGA,BUY,YES,54-55°F,110692355787979909771005594657552554225422380436261646687595238097106981627608,5,427.056,0.0065,0xc38e4eb5d0d81d2eb5dfb59431c762b58a37114ddb1c30b5fac19fbb11218b65,FILLED,MANUAL,,f,2026-03-24 18:13:36.210607+00
43,marty-manual-20260324181425480,EGLC,SELL,YES,"",19432800932921858485741636545816887596714852351934257654621112867968794868120,,6.32,,0xb9e10b6d3bb9f53a84b149233ab96a46125f29dc5d35adc8e71151605afaff87,FILLED,MANUAL,,f,2026-03-24 18:14:31.822951+00
44,ruth-pws-cyyz-20260324-184850990,CYYZ,BUY,YES,4°C,65489536437335779855697623373662351745511058359038730306503355620949601689454,5,8.474575,0.38,0x7700f8ca40e35c730c903470d29a8ad290ba1ee15a3a3050fdc82aa27f0488ef,FILLED,PWS,"{""noPrice"": 0.62, ""yesPrice"": 0.38}",f,2026-03-24 18:48:57.313594+00
45,ruth-metar-katl-20260324-190002690,KATL,SELL,YES,68-69°F,18463263350027208655829030743157508503279557244505071503738907574557867508162,,10.58,,0x09f4b40446d2ad38211747c2a6ec97a0983684478bbe76ed846790d3d05d6b50,FILLED,PWS_EXIT,,f,2026-03-24 19:00:09.016275+00
46,ruth-metar-katl-20260324-190002690,KATL,BUY,YES,66-67°F,36932432079600826968927214223778798554412393677861074672902948860551104778583,5,22.72727,0.125,0x70e53459e669601453505428947dd1bc25dfb93dd09d5e1566b36281b3df3e50,FILLED,METAR,"{""noPrice"": 0.875, ""yesPrice"": 0.125}",f,2026-03-24 19:00:09.081851+00
47,ruth-metar-katl-20260324-190002690,KATL,HARVEST,NO,68-69°F,36820092678843420599959990569545734922233880588002253863850760847626557837142,5,13.623977,0.436,0xf1e4e6b2980f7fc160ee0753aaad862b7f14ad192867e5aee724e926352688b4,FILLED,METAR,,f,2026-03-24 19:00:15.422445+00
48,ruth-metar-katl-20260324-190002690,KATL,HARVEST,NO,70-71°F,84240288121475357450487377433138336582138182567253640911242197579606521549073,5,6.9,0.724,0x62692e89aee0d79c93bd70146385eccccb834ee7aade27a0f894fe5b8da7276e,PENDING,METAR,,f,2026-03-24 19:00:39.779391+00
49,ruth-pws-klga-20260324-190050165,KLGA,BUY,YES,46-47°F,9310629107699034060870352950474609210450267081288242348911458743337594887012,5,10.333332,0.555,0xb21f6844585e7dda8781f166aba3969e5911e27addec4bbbf5ad7529e199cb0f,FILLED,PWS,"{""noPrice"": 0.445, ""yesPrice"": 0.555}",f,2026-03-24 19:00:56.439533+00
50,ruth-pws-katl-20260324-190055544,KATL,BUY,YES,68-69°F,18463263350027208655829030743157508503279557244505071503738907574557867508162,5,7.47384,0.6475,0x3391b63206a99309045992c77b0d7cdf68579d3bf2307284683f808ce9edcabc,FILLED,PWS,"{""noPrice"": 0.3525, ""yesPrice"": 0.6475}",f,2026-03-24 19:01:01.812607+00
51,monitor-dup-1774378899423,KATL,SELL,YES,68-69F,36820092678843420599959990569545734922233880588002253863850760847626557837142,,13.62,,0xa403a3019554a5daa22d161aab57fa6161799571e944debe9d982db51c5e7d06,FILLED,MONITOR,,f,2026-03-24 19:01:45.65302+00
52,ruth-pws-kord-20260324-190150004,KORD,BUY,YES,48-49°F,74682516358565591659522794264561994601823290764648554702207819783232574226468,5,10.080644,0.4105,0x9f802d5a329012298f169c226cd9af8702b05992671bddf7f142b4105aae283a,FILLED,PWS,"{""noPrice"": 0.5895, ""yesPrice"": 0.4105}",f,2026-03-24 19:01:56.259493+00
53,ruth-metar-cyyz-20260324-190732087,CYYZ,SELL,YES,4°C,65489536437335779855697623373662351745511058359038730306503355620949601689454,,8.47,,0xc93747abcf3d6d61addbb4933812fb4cc581a32cf9e8b86d4101edfba1833094,FILLED,PWS_EXIT,,f,2026-03-24 19:07:38.358227+00
54,ruth-pws-cyyz-20260324-190750929,CYYZ,BUY,YES,4°C,65489536437335779855697623373662351745511058359038730306503355620949601689454,5,8.474575,0.43,0x747dabc87ec6d6498380694fa44b741751bf87bd3f195cfc312c119b142bb441,FILLED,PWS,"{""noPrice"": 0.57, ""yesPrice"": 0.43}",f,2026-03-24 19:07:57.190216+00
