id,station,temp_c,dewpoint_c,humidity_pct,wind_deg,wind_kt,gust_kt,visibility_m,cloud_layers,pressure_hpa,max_temp_c_6h,metar_raw,valid_utc,captured_at,trace_id,created_at
31,EGLC,13,8,72,230,14,24,9999,"[{""altFt"": 2000, ""cover"": ""BKN""}]",1012,,EGLC 241420Z AUTO 23014G24KT 9999 BKN020 13/08 Q1012,2026-03-24 14:20:00+00,2026-03-24 14:24:17.252+00,ruth-metar-eglc-20260324-142417252,2026-03-24 14:24:17.267849+00
32,LFPG,18,4,39,210,12,,,[],1018,,LFPG 241430Z 21012KT CAVOK 18/04 Q1018 NOSIG,2026-03-24 14:30:00+00,2026-03-24 14:32:17.843+00,ruth-metar-lfpg-20260324-143217843,2026-03-24 14:32:17.858582+00
33,KSEA,6.1,5.6,97,0,0,,,"[{""altFt"": 300, ""cover"": ""FEW""}, {""altFt"": 3100, ""cover"": ""BKN""}, {""altFt"": 7000, ""cover"": ""OVC""}]",,,KSEA 241444Z 00000KT 2SM -RA BR FEW003 BKN031 OVC070 06/06 A2979 RMK AO2 P0018 T00610056 $,2026-03-24 14:44:00+00,2026-03-24 14:46:32.836+00,ruth-metar-ksea-20260324-144632836,2026-03-24 14:46:32.852332+00
34,KORD,2.8,-7.8,46,180,9,,,"[{""altFt"": 11000, ""cover"": ""FEW""}, {""altFt"": 13000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""OVC""}]",,,KORD 241451Z 18009KT 10SM FEW110 BKN130 OVC250 03/M08 A3037 RMK AO2 SLP292 T00281078 52002,2026-03-24 14:51:00+00,2026-03-24 15:00:07.952+00,ruth-metar-kord-20260324-150007952,2026-03-24 15:00:08.014142+00
37,KLGA,3.9,-9.4,37,340,12,17,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,,KLGA 241451Z 34012G17KT 10SM FEW250 04/M09 A3042 RMK AO2 SLP302 T00391094 53018,2026-03-24 14:51:00+00,2026-03-24 15:00:07.966+00,ruth-metar-klga-20260324-150007966,2026-03-24 15:00:08.031764+00
35,KATL,13.9,-5,27,90,12,26,,"[{""altFt"": 15000, ""cover"": ""SCT""}, {""altFt"": 18000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KATL 241452Z 09012G26KT 10SM SCT150 BKN180 BKN250 14/M05 A3029 RMK AO2 PK WND 09026/1447 SLP255 VIRGA NE-SE-SW-W T01391050 51021 $,2026-03-24 14:52:00+00,2026-03-24 15:00:07.972+00,ruth-metar-katl-20260324-150007972,2026-03-24 15:00:08.033087+00
36,KDAL,18.9,10.6,59,140,9,,,"[{""altFt"": 21000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KDAL 241453Z 14009KT 10SM BKN210 BKN250 19/11 A3011 RMK AO2 SLP190 T01890106 53007,2026-03-24 14:53:00+00,2026-03-24 15:00:07.978+00,ruth-metar-kdal-20260324-150007978,2026-03-24 15:00:08.034157+00
38,EGLC,13,8,72,230,17,28,9999,"[{""altFt"": 1800, ""cover"": ""OVC""}]",1011,,EGLC 241450Z AUTO 23017G28KT 9999 OVC018 13/08 Q1011,2026-03-24 14:50:00+00,2026-03-24 15:00:07.959+00,ruth-metar-eglc-20260324-150007959,2026-03-24 15:00:08.034766+00
39,KMIA,25,13.3,48,0,0,,,[],,,KMIA 241453Z 00000KT 10SM CLR 25/13 A3011 RMK AO2 SLP195 T02500133 51007,2026-03-24 14:53:00+00,2026-03-24 15:00:07.991+00,ruth-metar-kmia-20260324-150007991,2026-03-24 15:00:08.037458+00
40,KSEA,6.1,5.6,97,290,3,,,"[{""altFt"": 300, ""cover"": ""FEW""}, {""altFt"": 1100, ""cover"": ""SCT""}, {""altFt"": 3500, ""cover"": ""BKN""}]",,,KSEA 241453Z 29003KT 2SM RA BR FEW003 SCT011 BKN035 06/06 A2979 RMK AO2 SLP096 P0020 60033 T00610056 56034 $,2026-03-24 14:53:00+00,2026-03-24 15:00:08.044+00,ruth-metar-ksea-20260324-150008044,2026-03-24 15:00:08.051779+00
