id,trace_id,service,station,level,category,message,metadata,created_at
1772,ruth-pws-katl-20260324-161950731,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.877), METAR 60.1°F → estimated 63.3°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.23"", ""conf"": ""1.00"", ""ramp"": ""3.09"", ""score"": 0.8774999999999997, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.39""}",2026-03-24 16:19:50.735227+00
1773,ruth-pws-katl-20260324-161950731,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:19:50.735549+00
1774,ruth-pws-lfpg-20260324-161951090,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.238), METAR 18.0°C → estimated 17.1°C, bucket 18°C → 17°C","{""gap"": ""-1.06"", ""conf"": ""0.00"", ""ramp"": ""-2.97"", ""score"": -0.23750000000000035, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.11""}",2026-03-24 16:19:51.093567+00
1775,ruth-pws-cyyz-20260324-161951258,wendy,CYYZ,info,signal,"PWS anticipation: STRONG (score=0.825), METAR 1.0°C → estimated 2.3°C, bucket 1°C → 2°C","{""gap"": ""1.00"", ""conf"": ""1.00"", ""ramp"": ""2.64"", ""score"": 0.8250000000000002, ""current"": ""1°C"", ""predicted"": ""2°C"", ""tEstimated"": ""2.29""}",2026-03-24 16:19:51.261369+00
1776,ruth-pws-cyyz-20260324-161951258,wendy,CYYZ,info,signal,"PWS already anticipated 4°C, skipping duplicate buy",,2026-03-24 16:19:51.261853+00
1777,ruth-pws-kdal-20260324-162050115,wendy,KDAL,info,signal,"PWS anticipation: STRONG (score=0.740), METAR 70.0°F → estimated 71.7°F, bucket 70-71°F → 72-73°F","{""gap"": ""1.51"", ""conf"": ""1.00"", ""ramp"": ""-0.39"", ""score"": 0.7399999999999995, ""current"": ""70-71°F"", ""predicted"": ""72-73°F"", ""tEstimated"": ""22.04""}",2026-03-24 16:20:50.126474+00
1778,ruth-pws-kord-20260324-162050305,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.873), METAR 39.9°F → estimated 43.1°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.21"", ""conf"": ""1.00"", ""ramp"": ""2.70"", ""score"": 0.8725, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.18""}",2026-03-24 16:20:50.309294+00
1779,ruth-pws-kord-20260324-162050305,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 43.1°F, bucket 42-43°F, price 0.01",,2026-03-24 16:20:50.318173+00
1780,ruth-pws-klga-20260324-162050486,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.735), METAR 39.9°F → estimated 36.5°F, bucket 40-41°F → 36-37°F","{""gap"": ""1.49"", ""conf"": ""1.00"", ""ramp"": ""-9.82"", ""score"": 0.7350000000000001, ""current"": ""40-41°F"", ""predicted"": ""36-37°F"", ""tEstimated"": ""2.50""}",2026-03-24 16:20:50.490021+00
1781,ruth-pws-klga-20260324-162050486,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:20:50.49058+00
